cpu_percent,memory_percent,latency,bandwidth_out,bandwidth_in,packet_loss,crc_errors,anomaly,anomaly_label
24.2,87.3,23.84474959486185,0.0,0.0,0.4593394153613216,1,1,Normal
32.2,87.4,25.051140923008926,0.000201,0.000535,0.3548177275409904,1,1,Normal
14.3,87.4,23.23681905859056,0.001492,0.000878,0.3087394167548782,0,1,Normal
13.3,87.4,11.654113420666402,0.007608,0.005952,0.4521413388810125,1,1,Normal
11.8,87.4,13.2088835391345,0.005281,0.000124,0.3417413509956744,2,1,Normal
31.0,87.7,17.80248716581047,0.002261,0.000949,0.3029961138283772,0,1,Normal
56.1,88.9,20.36945478936701,0.000144,0.000136,0.3899387356246891,0,1,Normal
31.6,89.0,23.052411098349545,0.000144,0.000136,0.1523247994936779,0,1,Normal
21.2,89.9,22.211054127616613,0.000245,0.000543,0.2812597178453474,2,1,Normal
26.5,88.9,31.502516149687573,0.0,0.000207,0.3278792362986205,1,1,Normal
27.5,89.3,19.87872369677936,0.012024,0.027025,0.3582015788758049,1,1,Normal
19.8,89.1,31.99425081039089,0.013776,0.002444,0.3965189996406232,0,1,Normal
34.7,91.1,25.32445153774013,0.005443,0.010121,0.4061483287596129,2,1,Normal
25.6,88.8,36.29092995286402,5.8e-05,5.8e-05,0.4471230573081696,0,1,Normal
14.6,88.8,22.14683447475756,0.000166,0.000112,0.2786701181742221,1,1,Normal
14.4,88.9,29.169595672156493,5.8e-05,5.8e-05,0.3057018739673021,2,1,Normal
8.1,88.7,19.353473507241887,0.0004,0.000331,0.3047573496113903,0,1,Normal
8.6,88.7,21.87345145587264,0.000112,0.000166,0.2971478863423994,2,1,Normal
12.1,88.8,17.03507381163907,5.8e-05,5.8e-05,0.3301177944141201,2,1,Normal
16.1,89.0,21.38746931051335,5.8e-05,5.8e-05,0.2703507947991198,0,1,Normal
19.3,88.9,23.028630506914496,0.000144,0.000136,0.2887995819405263,2,1,Normal
12.5,88.8,16.91609870650118,0.006698,0.006967,0.2598007377568815,2,1,Normal
8.2,88.7,29.783468823601755,0.000383,0.001225,0.3872861278199917,1,1,Normal
17.7,88.9,17.971559960125685,0.000516,0.002004,0.3500599586327477,0,1,Normal
15.6,88.8,23.61847859150738,0.00437,0.005846,0.1378736862108328,0,1,Normal
17.4,88.7,20.478275500571936,0.001127,0.00712,0.3690406302415506,1,1,Normal
10.1,88.7,18.74640532782814,0.00022,5.8e-05,0.17950890173803,0,1,Normal
8.6,88.6,29.142848325408345,0.000112,0.000166,0.1542165185889328,1,1,Normal
14.0,88.6,24.816342051520728,5.8e-05,5.8e-05,0.2276230175769646,1,1,Normal
12.2,88.6,23.625340020224343,5.8e-05,0.000112,0.2487583385458322,0,1,Normal
19.7,88.6,31.24932865632353,5.8e-05,5.8e-05,0.3931561209820744,1,1,Normal
9.8,88.7,20.329933952092453,0.00326,0.001151,0.554141513446712,2,1,Normal
17.9,88.7,29.88320929765364,0.003959,0.007387,0.3758881081987443,1,1,Normal
23.6,88.8,27.63114440108449,5.8e-05,5.8e-05,0.4674312110492086,1,1,Normal
17.5,88.8,23.53448748805317,0.000242,0.000358,0.2745829307145337,0,1,Normal
19.5,87.9,25.80298088605909,0.062001,0.007755,0.2359648940684007,2,1,Normal
19.8,88.0,45.2567763541421,0.074528,0.002704,0.2628768885996956,1,-1,Anomaly
10.8,87.7,22.995787742869403,0.075936,0.003136,0.2888244808221586,2,1,Normal
19.7,86.7,25.83476157968417,0.07599,0.00319,0.2512595274911314,2,1,Normal
14.4,86.4,26.22839594095466,0.013541,0.001354,0.3512196256347193,1,1,Normal
23.6,86.5,25.155551479071526,0.000244,0.000833,0.2490863834332098,1,1,Normal
15.2,86.6,34.35225205777116,0.009606,0.013876,0.1520708949853609,1,1,Normal
5.0,86.6,25.45130257397018,0.000359,0.001186,0.4201839961714188,1,1,Normal
17.9,86.5,21.900225621786014,0.000113,0.000124,0.2847509463844691,1,1,Normal
21.4,86.7,21.394953157348176,5.8e-05,5.8e-05,0.4634129649994245,0,1,Normal
24.2,86.8,21.22760261454628,0.039132,0.004958,0.2886440124825964,2,1,Normal
16.8,86.8,22.47134654038115,0.002972,0.051407,0.3550839632666077,1,1,Normal
15.3,86.9,16.184556753932558,0.000164,5.8e-05,0.3260895241625501,1,1,Normal
8.4,87.0,23.716743902684943,0.008673,0.003402,0.3743052787908878,2,1,Normal
18.3,86.9,28.212016901025997,0.000271,0.003248,0.345984611913837,0,1,Normal
16.8,87.0,28.41768579063893,0.000186,0.000186,0.4132311598286396,2,1,Normal
15.4,87.0,31.82229890566674,0.009712,0.007318,0.2458301078101759,0,1,Normal
11.7,86.8,19.6829922755931,0.000541,0.007876,0.1796757741284348,1,1,Normal
6.1,86.7,23.77214910322273,5.8e-05,5.8e-05,0.3178812405241604,2,1,Normal
19.1,86.9,27.300826832642013,5.8e-05,5.8e-05,0.4289615110469518,1,1,Normal
19.7,87.1,32.39950812820228,0.000252,0.000136,0.3098548120176585,2,1,Normal
17.9,85.6,21.476592435817164,0.000244,0.000298,0.1439644197008057,0,1,Normal
14.8,85.5,30.671251853510963,5.8e-05,5.8e-05,0.1955893918838873,0,1,Normal
10.5,85.7,33.28786782030523,5.8e-05,5.8e-05,0.4628051437108537,0,1,Normal
23.8,86.5,28.106561897753643,5.8e-05,5.8e-05,0.2334184638774461,1,1,Normal
23.4,86.8,24.86407062231213,5.8e-05,5.8e-05,0.3253851204646277,2,1,Normal
19.3,86.8,14.305550216383171,0.007181,0.007402,0.2612996597789941,0,1,Normal
34.4,87.0,20.07637569783006,0.003746,0.006248,0.3086294152169683,0,1,Normal
18.4,86.9,18.90379621784693,0.005161,0.000933,0.2733698099143569,0,1,Normal
9.7,87.0,20.67591906893334,0.004214,0.001471,0.1440826509999048,2,1,Normal
23.7,86.9,22.876794084641645,0.004808,0.005702,0.4505774882119455,2,1,Normal
17.0,86.7,27.53680556408552,0.000144,0.000244,0.2221141379314342,2,1,Normal
22.7,86.8,20.635170531875445,0.000144,0.000144,0.1507339744366386,0,1,Normal
14.8,86.7,22.12872766859364,5.8e-05,5.8e-05,0.3106637017818852,1,1,Normal
15.0,86.8,18.50710164123649,5.8e-05,5.8e-05,0.3183879406708788,2,1,Normal
28.0,87.0,27.03126329001628,5.8e-05,5.8e-05,0.1500016562064561,2,1,Normal
19.6,86.4,23.876046593866928,0.007027,0.007402,0.424941022353047,0,1,Normal
15.0,86.4,25.434074710531966,0.000112,0.000424,0.3443845012223185,0,1,Normal
18.0,86.5,20.91078207832519,5.8e-05,5.8e-05,0.304642737867052,2,1,Normal
19.7,86.8,18.09521912569263,0.002815,0.010653,0.0591705127155921,2,1,Normal
22.9,87.2,33.768100341301235,0.010676,0.005827,0.2888628318798036,0,1,Normal
29.6,86.7,15.668118882018888,0.002141,0.001815,0.3288152719237378,1,1,Normal
12.9,86.6,21.277790050932676,5.8e-05,7.8e-05,0.1826198986033342,1,1,Normal
14.6,86.4,20.12698465215968,5.8e-05,0.000136,0.4679128131132165,2,1,Normal
11.1,86.4,10.15403163335209,0.0,5.8e-05,0.1996981434991915,1,1,Normal
15.4,86.4,24.248240602325243,0.000144,0.000222,0.2573669591807762,2,1,Normal
16.4,86.4,31.267792730813497,0.025007,0.008525,0.2536386831309107,2,1,Normal
14.2,86.4,20.05364441143042,0.000219,0.000447,0.3017187837416631,0,1,Normal
16.5,86.4,26.38798321119164,5.8e-05,5.8e-05,0.3544413109481568,0,1,Normal
13.6,86.5,25.41513612127319,0.00781,5.8e-05,0.2132193725507,2,1,Normal
17.7,86.7,19.128263608036583,0.035633,0.008497,0.2762776375178248,0,1,Normal
25.3,86.8,31.3718725505939,0.001117,0.049843,0.1723286366426493,0,-1,Anomaly
15.9,86.9,20.390702483255637,0.000113,0.000124,0.3059695519462818,2,1,Normal
15.1,86.7,23.85057702928628,5.8e-05,5.8e-05,0.1222929455169834,2,1,Normal
14.2,86.8,27.257781066789,0.000112,5.8e-05,0.2775133877552305,1,1,Normal
10.5,86.7,23.650864005311654,0.000112,0.000112,0.3419486897965335,0,1,Normal
14.7,86.6,23.916168473870837,0.005571,0.001278,0.3304893165144021,1,1,Normal
15.1,86.5,24.877036746108697,0.005082,0.014557,0.3673709377827127,1,1,Normal
14.8,86.4,19.895079786385324,5.8e-05,5.8e-05,0.3409916126227015,2,1,Normal
10.5,86.3,31.844280226146697,5.8e-05,5.8e-05,0.3718697005534873,2,1,Normal
13.8,86.1,26.08505818044108,5.8e-05,5.8e-05,0.2681506754814521,0,1,Normal
15.1,86.2,25.364112769008905,5.8e-05,5.8e-05,0.2856586726865451,2,1,Normal
14.6,86.2,28.21306926946165,5.8e-05,5.8e-05,0.3574252745412833,2,1,Normal
14.7,86.1,16.405217591434663,0.000458,0.000802,0.3351325621030945,0,1,Normal
11.3,86.2,15.271367117798636,0.029552,0.01363,0.3378664194461064,1,1,Normal
11.0,86.2,23.535872285436664,0.000244,0.000956,0.4225497636182121,2,1,Normal
21.2,86.3,23.082252247705327,0.003096,0.000373,0.2503564040384775,2,1,Normal
20.2,86.4,24.139218743945985,5.8e-05,5.8e-05,0.3313711121416636,2,1,Normal
18.3,86.5,15.933764271883984,5.8e-05,5.8e-05,0.312322824925171,0,1,Normal
10.5,86.3,22.19083916951948,5.8e-05,5.8e-05,0.4323812134510119,2,1,Normal
8.9,86.1,19.75659806365215,0.000144,0.000144,0.2116588189086524,0,1,Normal
13.2,86.2,29.352848438821788,5.8e-05,5.8e-05,0.1940769151676476,2,1,Normal
14.0,86.2,21.7828826702237,5.8e-05,5.8e-05,0.3383642873711056,2,1,Normal
17.9,86.1,22.19839323407063,5.8e-05,5.8e-05,0.5901321120051416,1,1,Normal
13.2,86.1,22.029352006259632,0.000144,0.000136,0.2680886738144269,2,1,Normal
18.3,87.3,37.29659258075152,0.00019,0.00019,0.28781386060935,0,1,Normal
16.4,87.1,20.06347994054076,0.013387,0.008798,0.1369040553803455,0,1,Normal
20.8,88.6,20.352768814673414,0.000342,0.002068,0.4229400270615499,2,1,Normal
15.4,86.7,26.503381000420585,5.8e-05,5.8e-05,0.3193787400618315,0,1,Normal
13.3,86.7,17.778223928329545,0.000136,5.8e-05,0.2676726540445734,0,1,Normal
6.5,86.7,25.41254175419536,0.011534,0.005205,0.2937599690393748,2,1,Normal
15.5,86.7,22.615294851054607,0.000442,0.000222,0.2848522776494242,1,1,Normal
11.4,86.7,30.445713432073845,0.00027,5.8e-05,0.2558278917206651,1,1,Normal
18.0,86.8,25.276714627667943,0.00027,5.8e-05,0.3816299584689068,1,1,Normal
18.2,86.8,28.66986883560827,0.000432,0.000166,0.1856148941440583,1,1,Normal
5.0,86.8,23.04599082412936,0.014569,0.006707,0.3370723805041341,2,1,Normal
16.7,86.7,24.42793827357172,0.060702,0.014788,0.2310598966907689,1,1,Normal
20.3,86.8,30.607153743550214,0.001512,0.01104,0.2650743414434186,1,1,Normal
14.6,86.8,11.306674450624758,5.8e-05,0.000156,0.2331074879386204,2,1,Normal
13.2,86.7,24.1564224012688,5.8e-05,0.000156,0.1245431184539245,1,1,Normal
8.1,86.7,27.0497957510454,5.8e-05,5.8e-05,0.0585611415168718,1,1,Normal
19.0,87.2,24.3827215974751,5.8e-05,0.000156,0.311051402338226,1,1,Normal
17.4,87.3,23.44860700378718,5.8e-05,5.8e-05,0.3647234075832124,1,1,Normal
14.3,87.2,25.89155417436441,0.000166,5.8e-05,0.3212161823700536,1,1,Normal
16.6,87.2,31.34925369211168,0.000198,0.000252,0.3999658771151755,1,1,Normal
6.6,87.2,29.10434733719672,5.8e-05,5.8e-05,0.1916417322505813,0,1,Normal
13.7,87.4,20.863871499783823,0.009745,0.007306,0.2589718404537853,0,1,Normal
17.1,87.2,21.76459982602588,0.000595,0.007876,0.3825473145870089,0,1,Normal
22.2,87.4,17.179644370922688,0.000144,0.000136,0.1439712545328714,2,1,Normal
17.2,87.3,23.428504504095432,5.8e-05,5.8e-05,0.4116458935054693,2,1,Normal
8.0,87.3,18.77949226511095,5.8e-05,5.8e-05,0.1946040707614126,1,1,Normal
21.4,87.4,23.747512995902465,5.8e-05,5.8e-05,0.4004103709401119,1,1,Normal
13.9,87.4,21.80446342458511,5.8e-05,5.8e-05,0.136698813266916,2,1,Normal
12.9,87.3,26.55004999471396,0.00022,0.000166,0.2196268202117144,1,1,Normal
17.9,87.3,14.796091967710652,5.8e-05,5.8e-05,0.2306684636704623,1,1,Normal
10.6,87.4,16.80191721887714,5.8e-05,5.8e-05,0.1618812307309848,2,1,Normal
10.4,87.3,26.9999354271148,0.009626,0.00724,0.4157022247886033,0,1,Normal
15.0,87.3,21.492240333428136,0.000626,0.007822,0.2309246858150511,2,1,Normal
15.6,87.2,26.4392654870696,5.8e-05,0.000124,0.1658246636078613,1,1,Normal
13.5,87.3,15.625867802524247,5.8e-05,5.8e-05,0.2552651743100522,0,1,Normal
6.6,87.2,24.403699653421647,5.8e-05,5.8e-05,0.3346437825649989,0,1,Normal
11.0,87.3,29.21645401761226,5.8e-05,5.8e-05,0.3837054047095568,0,1,Normal
15.7,87.3,26.79087336351809,5.8e-05,5.8e-05,0.4780262995506312,0,1,Normal
13.8,87.2,27.00435259270344,0.00022,0.000166,0.4561804035271939,1,1,Normal
15.5,87.2,31.68069225934508,5.8e-05,0.0,0.3562504669160451,0,1,Normal
8.7,87.2,28.878178550699207,5.8e-05,5.8e-05,0.1482280162562726,2,1,Normal
13.0,87.3,32.24445797106262,0.005331,0.001192,0.3084740493805182,0,1,Normal
17.6,87.2,23.86842411663709,0.004986,0.014611,0.3148553170712577,2,1,Normal
18.9,87.3,31.08720245320523,5.8e-05,5.8e-05,0.5129285947995714,2,1,Normal
13.9,87.2,27.488191303444665,5.8e-05,5.8e-05,0.2943517965592448,0,1,Normal
11.6,87.2,23.55888690169536,0.000144,0.000136,0.4826648817259653,0,1,Normal
15.4,87.2,27.924260853146293,0.000144,0.000144,0.2129805844843567,1,1,Normal
14.8,87.3,26.5508133643352,5.8e-05,5.8e-05,0.1942767898344317,2,1,Normal
16.4,87.3,17.494805704178727,0.00022,0.000166,0.4826495403468621,0,1,Normal
20.6,87.5,22.88401989895161,5.8e-05,5.8e-05,0.1900030106972673,0,1,Normal
24.2,87.3,29.34529684726443,0.000331,0.000333,0.2044833657242418,2,1,Normal
10.5,87.3,25.741700321391804,0.023257,0.013777,0.296522481751676,1,1,Normal
16.0,87.3,26.10540747428816,0.000541,0.007768,0.3867110839555731,1,1,Normal
16.9,87.3,23.047073308994356,0.00019,0.00019,0.3426143406198334,2,1,Normal
16.4,87.3,28.68669493107683,5.8e-05,5.8e-05,0.350418556872576,1,1,Normal
8.8,87.5,22.12017175923854,0.00985,0.002318,0.4041265570286229,2,1,Normal
11.7,87.4,17.2209019976703,5.8e-05,5.8e-05,0.1683330376660467,0,1,Normal
16.1,87.4,25.765260010430712,0.000166,5.8e-05,0.3254215642999783,1,1,Normal
14.9,87.4,20.85018994816795,0.00019,0.00022,0.2804347873398528,1,1,Normal
17.9,87.4,28.545235403117225,5.8e-05,5.8e-05,0.2175340966782711,1,1,Normal
10.9,87.5,27.143574263033933,0.00974,0.0013,0.2088283959801042,1,1,Normal
7.4,87.5,25.544582197418613,0.005117,0.000397,0.233777816741108,2,1,Normal
13.7,87.6,27.329472081650604,0.00505,0.014665,0.2939333981140047,0,1,Normal
15.0,87.4,17.529682248468372,5.8e-05,5.8e-05,0.3112655031047413,2,1,Normal
16.5,87.4,28.577560202761244,0.000199,0.000136,0.3229684142082504,1,1,Normal
16.5,87.6,18.83506706822078,0.026122,0.002109,0.2538747879204946,2,1,Normal
31.1,88.2,28.020916050442214,0.047649,0.066416,0.4284903269408937,0,-1,Anomaly
31.5,88.4,24.083772597969315,0.01985,0.003673,0.2599787803680662,1,1,Normal
22.4,88.4,25.349375112508973,0.033534,0.004516,0.4815252389341722,1,1,Normal
27.7,88.5,13.94854259295547,0.026855,0.01163,0.2404833139995154,0,1,Normal
29.2,88.4,19.76414963107588,0.0076,0.012139,0.3439013544956545,2,1,Normal
29.8,88.5,19.91869265049194,0.03687,0.006299,0.3733885160896379,2,1,Normal
31.5,88.8,22.706867078933463,0.000593,0.001712,0.2937567409526552,1,1,Normal
28.9,89.1,28.493380896812702,0.00562,0.003394,0.2596979723592177,2,1,Normal
22.5,89.1,33.66143097396851,0.004595,0.081964,0.2042507241017152,1,-1,Anomaly
37.8,90.0,13.490947700508524,0.058745,0.096199,0.223715482092257,0,-1,Anomaly
32.2,89.8,28.739306445039396,0.002557,0.052716,0.4771907709745615,0,-1,Anomaly
30.5,90.0,23.95222805690373,0.015973,0.074993,0.503200136445611,0,-1,Anomaly
22.6,90.1,11.260120661417982,0.0007,0.004654,0.2964530114421529,2,1,Normal
24.5,90.2,21.759660659744405,0.000679,0.003496,0.2516027465987739,1,1,Normal
29.4,90.2,13.3947115326152,0.000272,0.00181,0.2002834678185311,2,1,Normal
26.5,90.3,26.672356477873706,0.057094,0.012351,0.4525070080502659,2,-1,Anomaly
17.2,90.3,15.716127105455763,0.054201,0.017979,0.2341609834204666,1,1,Normal
14.7,90.4,32.30020544012449,0.018766,0.001644,0.4475566135780084,0,1,Normal
9.6,90.1,22.947723618435667,0.000165,0.000755,0.32898950972271,2,1,Normal
14.2,90.0,12.832124024246596,5.8e-05,5.8e-05,0.446297370279321,1,1,Normal
17.8,90.0,21.998794451314588,0.00024,5.8e-05,0.3234858894238309,1,1,Normal
19.6,88.9,24.105393549154343,0.003328,0.001373,0.3462400278378251,0,1,Normal
13.1,89.2,23.38172119823713,5.8e-05,5.8e-05,0.4811413807707309,2,1,Normal
10.7,89.0,21.55907577826316,5.8e-05,5.8e-05,0.2600782765075908,2,1,Normal
15.4,89.0,21.731891130240584,0.006547,0.007211,0.3981202687194513,1,1,Normal
15.7,88.7,12.475810892210898,0.009897,0.014838,0.0827262932485457,0,-1,Anomaly
12.9,88.8,17.627374600298047,0.000784,0.007768,0.2385772059557512,1,1,Normal
17.8,89.0,24.518751421418965,5.8e-05,5.8e-05,0.2294980400661707,0,1,Normal
8.5,89.3,24.58413349637207,0.0001,0.0001,0.4690592126750411,1,1,Normal
16.0,89.2,13.483089384837116,0.000144,0.000144,0.354122211528692,1,1,Normal
20.8,88.9,26.903169850868945,0.000436,0.00043,0.297682044536565,2,1,Normal
17.5,89.0,15.123569882270488,5.8e-05,5.8e-05,0.0639670103523349,0,1,Normal
14.1,88.9,25.96810739209856,5.8e-05,5.8e-05,0.5231476099543692,0,1,Normal
6.7,88.9,32.43305919922842,0.018819,0.001087,0.2197858696349745,2,1,Normal
13.6,88.9,20.671454940859395,5.8e-05,5.8e-05,0.5201907807556728,2,1,Normal
16.5,89.1,19.38854306704056,0.005485,0.001192,0.3769972647650552,2,1,Normal
15.7,89.0,23.835307328243665,0.005082,0.014719,0.2915012569315336,2,1,Normal
20.5,89.0,24.49167734724241,5.8e-05,5.8e-05,0.4006613053182665,1,1,Normal
6.4,89.0,23.53665596068144,0.000144,0.000144,0.2588358811587744,0,1,Normal
15.9,89.0,24.56123939900599,5.8e-05,5.8e-05,0.2269408115297917,1,1,Normal
26.2,89.0,16.44696729009222,0.00022,0.000166,0.2428900136185174,2,1,Normal
